district_id,centroid_lon,centroid_lat,tile_x,tile_y,zoom
509,77.1602982962621,14.083467326638338,91,58,7
510,77.5912165119777,12.943269233305006,91,59,7
511,76.79746651886872,12.602463619888221,91,59,7
512,75.84256385061701,12.935960216801815,90,59,7
513,75.24942969953064,12.84525822149307,90,59,7
514,75.76895567153818,12.340081182298958,90,59,7
515,75.98684547540938,12.408745742452208,90,59,7
516,77.0892897631342,11.945933580308845,91,59,7
517,76.86712380789176,17.253934017160628,91,57,7
518,77.00190851347446,16.708074688138034,91,57,7
519,78.21511246228908,13.131316858156108,91,59,7
520,77.92812090188518,13.881677364082355,91,58,7
521,77.56497577421318,13.22389212103922,91,59,7
522,77.330622203726,12.67022799821392,91,59,7
